City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Lynn Haven,30.25,-85.65,84.2,83,1,3.36,US,07/18/20
Beringovskiy,63.05,179.32,55.35,73,82,8.1,RU,07/18/20
Luwuk,-0.95,122.79,83.3,66,1,4.27,ID,07/18/20
Myrtle Beach,33.69,-78.89,82.99,78,1,5.82,US,07/18/20
Hearst,49.68,-83.67,70.36,56,0,4.68,CA,07/18/20
Saint Anthony,45.02,-93.22,86.0,62,40,13.87,US,07/18/20
Jacareacanga,-6.22,-57.75,77.25,68,0,1.77,BR,07/18/20
Kudahuvadhoo,2.67,72.89,84.22,69,100,5.79,MV,07/18/20
Wilmington,34.23,-77.94,82.4,69,20,6.93,US,07/18/20
Batagay-Alyta,67.8,130.41,50.86,91,100,2.37,RU,07/18/20
Orlik,52.52,99.83,58.23,53,2,4.76,RU,07/18/20
Winthrop,42.38,-70.98,72.0,83,75,9.17,US,07/18/20
Kulhudhuffushi,6.62,73.07,83.14,75,100,17.22,MV,07/18/20
Bom Jesus,-9.07,-44.36,72.95,49,11,3.58,BR,07/18/20
Tromsø,69.65,18.96,53.6,87,90,21.92,NO,07/18/20
Sinnamary,5.38,-52.95,78.51,85,100,10.33,GF,07/18/20
Nhulunbuy,-12.23,136.77,80.6,65,75,12.75,AU,07/18/20
Arrondissement de Bressuire,46.92,-0.5,64.0,79,0,2.91,FR,07/18/20
Vila Velha,-20.33,-40.29,71.01,83,75,3.89,BR,07/18/20
Panama City,8.99,-79.52,86.0,66,40,2.24,PA,07/18/20
Yumen,40.28,97.2,70.52,38,0,11.65,CN,07/18/20
Grand Gaube,-20.01,57.66,68.0,74,3,5.01,MU,07/18/20
Oktyabr'skoye,43.06,44.74,62.6,93,0,4.47,RU,07/18/20
Chālūs,36.66,51.42,75.2,83,0,2.8,IR,07/18/20
Americus,32.07,-84.23,87.8,70,1,3.91,US,07/18/20
Oodweyne,9.41,45.06,71.47,50,100,17.65,SO,07/18/20
Chandla,25.08,80.2,87.91,61,70,4.9,IN,07/18/20
Grindavik,63.84,-22.43,44.6,75,40,26.4,IS,07/18/20
Rawson,-43.3,-65.1,51.35,64,0,18.97,AR,07/18/20
Gravdal,68.12,13.5,54.39,83,66,17.65,NO,07/18/20
Lábrea,-7.26,-64.8,77.83,62,21,1.03,BR,07/18/20
Vieste,41.88,16.18,64.4,88,20,9.17,IT,07/18/20
Baghdad,33.34,44.4,86.0,30,0,8.05,IQ,07/18/20
Nuuk,64.18,-51.72,62.6,36,68,11.41,GL,07/18/20
Mana,5.66,-53.78,78.93,83,75,10.8,GF,07/18/20
Tari,12.41,4.49,76.78,82,55,13.49,NG,07/18/20
Kingman,35.19,-114.05,102.99,13,1,21.92,US,07/18/20
San Francisco,37.77,-122.42,69.01,79,31,4.0,US,07/18/20
Yangi Marg`ilon,40.43,71.72,77.0,50,20,4.7,UZ,07/18/20
Lorengau,-2.02,147.27,84.29,73,100,10.83,PG,07/18/20
Aklavik,68.22,-135.01,68.0,42,75,4.7,CA,07/18/20
Tibati,6.47,12.63,65.23,96,100,1.1,CM,07/18/20
Matagami,49.75,-77.63,77.0,47,40,6.93,CA,07/18/20
Yarmouth,41.71,-70.23,73.4,83,90,8.05,US,07/18/20
Morropón,-5.18,-79.97,68.43,67,0,3.74,PE,07/18/20
Ban Nahin,18.24,104.21,83.08,70,100,1.61,LA,07/18/20
Mandalgovi,45.76,106.27,60.44,46,7,11.25,MN,07/18/20
Baishishan,43.58,127.57,84.96,55,0,1.12,CN,07/18/20
Katherine,-14.47,132.27,75.2,27,82,5.82,AU,07/18/20
Zhangaözen,43.3,52.8,78.98,38,0,5.84,KZ,07/18/20
Junín,-34.58,-60.94,46.99,94,100,8.01,AR,07/18/20
Ilhabela,-23.78,-45.36,67.6,85,9,7.85,BR,07/18/20
Cayenne,4.93,-52.33,77.0,100,100,9.89,GF,07/18/20
São Gabriel da Cachoeira,-0.13,-67.09,73.31,95,89,1.25,BR,07/18/20
Ust'-Ilimsk,58.0,102.66,52.3,73,93,8.57,RU,07/18/20
Hithadhoo,-0.6,73.08,83.62,77,59,12.24,MV,07/18/20
Tucumã,-0.18,-50.05,78.06,83,0,7.67,BR,07/18/20
Arlit,18.74,7.39,83.26,55,0,12.15,NE,07/18/20
Guaratinguetá,-22.82,-45.19,62.6,88,0,2.24,BR,07/18/20
Tessalit,20.2,1.01,91.81,21,0,9.69,ML,07/18/20
Severo-Kuril'sk,50.68,156.12,52.65,84,99,10.49,RU,07/18/20
Poum,-20.23,164.02,70.81,57,0,7.43,NC,07/18/20
Valleyview,55.07,-117.29,58.93,86,86,13.73,CA,07/18/20
Gushikawa,26.35,127.87,84.2,89,40,8.05,JP,07/18/20
Daru,-9.08,143.21,77.38,82,91,16.11,PG,07/18/20
Nantucket,41.28,-70.1,69.01,94,90,8.05,US,07/18/20
Leh,34.17,77.58,60.84,40,23,5.91,IN,07/18/20
Ust-Maya,60.42,134.53,82.92,51,0,8.48,RU,07/18/20
Shīeli,44.17,66.75,79.7,27,0,4.9,KZ,07/18/20
Abū Zabad,12.35,29.25,76.15,67,1,14.2,SD,07/18/20
Cidreira,-30.18,-50.21,60.66,87,8,14.47,BR,07/18/20
Beaumont,30.09,-94.1,86.0,66,1,6.93,US,07/18/20
Dwārka,22.24,68.97,83.43,86,0,9.57,IN,07/18/20
Phek,25.67,94.5,64.53,100,100,1.32,IN,07/18/20
Moratuwa,6.77,79.88,77.0,100,40,4.7,LK,07/18/20
San Patricio,19.22,-104.7,82.4,65,20,2.95,MX,07/18/20
Breytovo,58.3,37.86,55.99,88,98,8.43,RU,07/18/20
Port Macquarie,-31.43,152.92,64.0,71,12,3.0,AU,07/18/20
Staryy Nadym,65.61,72.68,54.0,90,100,19.77,RU,07/18/20
Naberera,-4.2,36.93,52.03,72,87,6.55,TZ,07/18/20
Inhambane,-23.86,35.38,64.0,82,70,8.93,MZ,07/18/20
Vizinga,61.07,50.1,56.25,94,0,3.02,RU,07/18/20
Oussouye,12.48,-16.55,80.6,88,40,13.87,SN,07/18/20
Pyapon,16.28,95.68,81.68,84,100,6.17,MM,07/18/20
Aloleng,16.13,119.78,85.82,71,100,8.5,PH,07/18/20
Innoshima,34.28,133.18,73.4,83,75,2.24,JP,07/18/20
Kunda,25.72,81.52,88.21,64,43,3.85,IN,07/18/20
Vysokaya Gora,55.91,49.3,53.6,93,0,4.47,RU,07/18/20
Hilton Head,32.22,-80.75,84.99,74,40,4.7,US,07/18/20
Kumylzhenskaya,49.88,42.59,63.0,88,100,4.0,RU,07/18/20
Dekar,-21.53,21.93,42.01,65,0,5.99,BW,07/18/20
Urdoma,61.75,48.54,56.05,96,0,2.95,RU,07/18/20
Bacoor City,14.42,120.95,90.0,74,95,5.82,PH,07/18/20
Hede,33.77,120.25,74.5,97,100,8.77,CN,07/18/20
Bathsheba,13.22,-59.52,82.4,74,40,12.75,BB,07/18/20
Skjervøy,70.03,20.97,52.02,91,100,4.88,NO,07/18/20
Melsungen,51.13,9.55,55.4,93,75,1.01,DE,07/18/20
Nybro,56.74,15.91,59.0,93,34,3.36,SE,07/18/20
Korla,41.76,86.15,78.01,70,7,6.53,CN,07/18/20
Umm Bāb,25.21,50.81,86.0,66,1,4.7,QA,07/18/20
Niquero,20.04,-77.58,81.09,78,100,5.12,CU,07/18/20
Santa Isabel,-23.32,-46.22,64.4,82,0,2.24,BR,07/18/20
La Ronge,55.1,-105.28,60.8,93,75,10.29,CA,07/18/20
Emba,48.83,58.14,77.88,29,0,5.93,KZ,07/18/20
Malanville,11.87,3.39,77.13,80,100,8.08,BJ,07/18/20
Yakovlevka,44.42,133.48,84.51,49,0,1.86,RU,07/18/20
Smithers,54.78,-127.17,66.2,55,75,6.93,CA,07/18/20
La Santisima Trinidad,-14.83,-64.9,76.66,64,0,2.3,BO,07/18/20
Miraflores,19.22,-98.81,73.4,45,75,18.34,MX,07/18/20
Kaeo,-35.1,173.78,62.01,3,88,8.99,NZ,07/18/20
Batagay,67.63,134.63,59.32,67,99,6.08,RU,07/18/20
São Félix do Xingu,-6.64,-51.99,74.23,60,0,2.48,BR,07/18/20
Ullapool,57.9,-5.16,52.0,84,96,4.0,GB,07/18/20
Viedma,-40.81,-63.0,52.0,81,52,1.01,AR,07/18/20
Trairi,-3.28,-39.27,77.74,81,17,8.57,BR,07/18/20
East Wenatchee,47.42,-120.29,82.4,26,1,20.8,US,07/18/20
Wanning,18.8,110.4,86.22,72,42,11.45,CN,07/18/20
Ardeşen,41.19,40.99,71.6,88,20,3.36,TR,07/18/20
Manono,-7.3,27.42,62.92,50,0,7.23,CD,07/18/20
Bilma,18.69,12.92,84.79,35,0,11.83,NE,07/18/20
Asunción,-25.3,-57.64,77.0,57,0,5.82,PY,07/18/20
Bonthe,7.53,-12.51,76.78,80,100,7.63,SL,07/18/20
Aitape,-3.14,142.35,82.36,78,48,3.8,PG,07/18/20
Haines Junction,60.75,-137.51,64.08,41,81,9.75,CA,07/18/20
Turukhansk,65.82,87.98,55.0,66,17,12.55,RU,07/18/20
Pangnirtung,66.15,-65.71,58.39,55,100,1.61,CA,07/18/20
Padang,-0.95,100.35,79.65,77,86,4.34,ID,07/18/20
Jingdezhen,29.29,117.21,84.78,75,100,4.25,CN,07/18/20
Eyemouth,55.87,-2.09,57.99,90,100,10.65,GB,07/18/20
Andenes,69.31,16.12,50.0,87,89,8.05,NO,07/18/20
Tezu,27.92,96.17,75.72,86,100,0.69,IN,07/18/20
Omboué,-1.57,9.26,72.7,89,100,7.14,GA,07/18/20
Kamiiso,41.82,140.65,66.2,82,75,13.87,JP,07/18/20
Neuquén,-38.95,-68.06,46.4,81,33,9.1,AR,07/18/20
Kuching,1.55,110.33,75.2,94,40,3.36,MY,07/18/20
São Miguel do Araguaia,-13.28,-50.16,72.63,38,0,3.67,BR,07/18/20
Mithi,24.73,69.8,88.97,64,0,5.57,PK,07/18/20
High Level,58.52,-117.14,64.4,82,75,5.82,CA,07/18/20
Mouila,-1.87,11.06,70.39,87,87,2.3,GA,07/18/20
Codrington,-38.27,141.97,51.93,66,100,18.12,AU,07/18/20
Paraíso,9.84,-83.87,73.4,69,20,11.41,CR,07/18/20
Bandarbeyla,9.49,50.81,81.5,48,100,31.43,SO,07/18/20
Oranjemund,-28.55,16.43,63.63,28,0,4.65,,07/18/20
Lima,-12.04,-77.03,62.6,67,90,10.29,PE,07/18/20
Krasnovishersk,60.41,57.08,62.71,97,17,3.49,RU,07/18/20
Srednekolymsk,67.45,153.68,60.82,45,93,12.57,RU,07/18/20
Mendoza,-32.89,-68.83,51.8,57,0,4.7,AR,07/18/20
Los Llanos de Aridane,28.66,-17.92,78.01,88,63,11.41,ES,07/18/20
Laramie,41.31,-105.59,78.8,19,75,16.11,US,07/18/20
Luba,3.46,8.55,73.4,100,40,1.12,GQ,07/18/20
Tricase,39.93,18.36,72.0,94,40,9.17,IT,07/18/20
Hare Bay,48.85,-54.01,51.8,62,20,5.82,CA,07/18/20
Oddur,4.12,43.89,70.95,71,97,24.45,SO,07/18/20
Boyolangu,-8.12,111.89,77.27,78,67,7.81,ID,07/18/20
Palmas,-10.21,-48.36,77.0,61,9,6.93,BR,07/18/20
Houston,29.76,-95.36,87.8,58,75,10.29,US,07/18/20
Chui,-33.7,-53.46,57.6,95,94,10.42,UY,07/18/20
Otegen Batyra,43.43,77.02,77.0,36,75,4.47,KZ,07/18/20
Yebaishou,41.4,119.64,72.16,75,100,10.58,CN,07/18/20
Mangan,27.52,88.53,76.28,61,100,1.03,IN,07/18/20
La Palma,33.85,-118.05,82.99,48,1,10.29,US,07/18/20
Marzuq,14.4,46.47,84.38,33,91,2.26,YE,07/18/20
Moussoro,13.64,16.49,79.7,67,88,12.15,TD,07/18/20
